Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Bangladesh,BGD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,195146608978.131,209028320490.615,222803809377.443,239111739541.452,257958323968.613,266852772253.895,285368829855.224,305629528154.311,323279976841.364
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.19428022984984,5.51352572692995,5.70207015717239,5.54362139486476,5.59199639930629,5.69107474746211,5.54565430773473,7.69695437176898,9.8835030377921
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.396,4.35,4.372,4.407,4.441,5.436,5.327,4.593,4.454
Bangladesh,BGD,Deposit interest rate (%),FR.INR.DPST,8.24416666666667,6.19916666666667,5.60583333333333,6.6575,6.775,6.0675,5.045,5.55522939207449,6.51833333333333
Barbados,BRB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,5288057750,5382816060.91822,5389730072.92036,5326451133.48749,5361210776.86546,4554114648.02364,4542503209.52524,5352561584.79213,5571685827.33474
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-1.11278992510967,1.28192813061895,4.66018463955996,3.67381410406801,4.10028964518461,..,..,..,9.79207077126447
Barbados,BRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.803,8.247,8.622,8.322,8.412,9.777,9.433,8.365,7.878
Barbados,BRB,Deposit interest rate (%),FR.INR.DPST,1.3225,0.3475,0.19488919978547,0.150277937417484,0.15,0.15,0.15,0.143333333333333,..
Belarus,BLR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,56454889146.6088,55028586612.0854,56422011402.6863,58198852028.1251,59040672510.7894,58643480548.472,60073714183.7453,57275242735.7789,59501097357.3809
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,13.5344897649735,11.8365807653497,6.03183725177793,4.87230220550684,5.59815595039854,5.54814357456511,9.46028389623103,15.209675274081,5.0005990309131
Belarus,BLR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.881,5.844,5.648,4.763,4.165,4.049,3.9,3.574,3.461
Belarus,BLR,Deposit interest rate (%),FR.INR.DPST,19.9083333333333,14.6416666666667,6.99910913085967,5.92083333333333,6.5075,6.60833333333333,8.35416666666667,8.42083333333333,4.85228837114832
Belgium,BEL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,461044767544.531,466547349016.531,473426438780.183,482317238512.932,494099718421.514,470417598481.151,499595504127.06,520745539238.467,527263714444.414
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.561429152790065,1.97385264653181,2.12597086002607,2.05316499865186,1.43681956996429,0.740791812220344,2.44024851144084,9.597511728725,4.04901077613941
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.482,7.83,7.09,5.941,5.364,5.545,6.248,5.57,5.528
Belgium,BEL,Deposit interest rate (%),FR.INR.DPST,..,..,..,..,..,..,..,..,..
Belize,BLZ,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2193050000,2194246345.03921,2154467872.48551,2178394773.26969,2271360752.35822,1955575509.71701,2302615266.50756,2524886205.2506,2553897572.45142
